State,Year,Production.Coal,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Geothermal,Consumption.Commercial.Hydropower,Consumption.Commercial.Kerosene,Consumption.Commercial.Petroleum,Consumption.Commercial.Natural Gas,Consumption.Commercial.Solar,Consumption.Commercial.Wind,Consumption.Commercial.Wood,Consumption.Electric Power.Coal,Consumption.Electric Power.Distillate Fuel Oil,Consumption.Electric Power.Natural Gas,Consumption.Electric Power.Wood,Consumption.Industrial.Coal,Consumption.Industrial.Distillate Fuel Oil,Consumption.Industrial.Geothermal,Consumption.Industrial.Hydropower,Consumption.Industrial.Kerosene,Consumption.Industrial.Petroleum,Consumption.Industrial.Natural Gas,Consumption.Industrial.Other Petroleum Products,Consumption.Industrial.Solar,Consumption.Industrial.Wind,Consumption.Industrial.Wood,Consumption.Refinery.Coal,Consumption.Refinery.Distillate Fuel Oil,Consumption.Refinery.Natural Gas,Consumption.Residential.Coal,Consumption.Residential.Distillate Fuel Oil,Consumption.Residential.Geothermal,Consumption.Residential.Kerosene,Consumption.Residential.Petroleum,Consumption.Residential.Natural Gas,Consumption.Residential.Wood,Consumption.Transportation.Coal,Consumption.Transportation.Distillate Fuel Oil,Consumption.Transportation.Petroleum,Consumption.Transportation.Natural Gas,Expenditure.Commercial.Coal,Expenditure.Commercial.Distillate Fuel Oil,Expenditure.Commercial.Kerosene,Expenditure.Commercial.Petroleum,Expenditure.Commercial.Natural Gas,Expenditure.Electric Power.Coal,Expenditure.Electric Power.Distillate Fuel Oil,Expenditure.Electric Power.Natural Gas,Expenditure.Industrial.Coal,Expenditure.Industrial.Distillate Fuel Oil,Expenditure.Industrial.Kerosene,Expenditure.Industrial.Petroleum,Expenditure.Industrial.Natural Gas,Expenditure.Industrial.Other Petroleum Products,Expenditure.Residential.Coal,Expenditure.Residential.Distillate Fuel Oil,Expenditure.Residential.Kerosene,Expenditure.Residential.Petroleum,Expenditure.Residential.Natural Gas,Expenditure.Residential.Wood,Expenditure.Transportation.Coal,Expenditure.Transportation.Distillate Fuel Oil,Expenditure.Transportation.Petroleum,Expenditure.Transportation.Natural Gas,Price.Commercial.Coal,Price.Commercial.Distillate Fuel Oil,Price.Commercial.Kerosene,Price.Commercial.Petroleum,Price.Commercial.Natural Gas,Price.Electric Power.Coal,Price.Electric Power.Distillate Fuel Oil,Price.Electric Power.Natural Gas,Price.Industrial.Coal,Price.Industrial.Distillate Fuel Oil,Price.Industrial.Kerosene,Price.Industrial.Petroleum,Price.Industrial.Natural Gas,Price.Industrial.Other Petroleum Products,Price.Transportation.Coal,Price.Transportation.Distillate Fuel Oil,Price.Transportation.Petroleum,Price.Transportation.Natural Gas
California,1960,0,64,3710,0,0,259,61539,112672,0,0,479,0,700,334297,5,35160,58992,0,1,5423,396500,466332,113165,0,0,56347,0,0,0,92,2825,0,84,15593,377572,25267,587,89200,1212128,10953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1961,0,55,3402,0,0,875,61796,116721,0,0,465,0,678,410443,0,58714,61992,0,1,4981,389529,472141,109958,0,0,58583,0,0,0,79,2591,0,284,15716,388749,24458,258,92174,1279581,12120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1962,0,57,3055,0,0,620,57118,128672,0,0,446,0,500,410638,245,39389,60572,0,6,4824,397657,497738,113285,0,0,62711,0,0,0,82,2326,0,202,17193,430026,23495,153,107487,1299538,16349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1963,0,36,2908,0,0,414,55828,134124,0,0,434,0,458,460019,0,45876,64793,0,1,4473,403978,569800,115957,0,0,69660,0,0,0,50,2214,0,135,18246,444928,22928,166,117241,1338825,14498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1964,0,68,3499,0,0,436,57027,152042,0,0,433,0,502,555604,204,53370,76930,0,1,5042,440180,592088,132245,0,0,74975,0,0,0,94,2665,0,142,19425,499736,22824,191,121027,1402509,17770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1965,0,111,3264,0,0,537,55577,175470,0,0,410,0,486,528668,672,63237,75736,0,0,3923,435947,567432,138102,0,0,74751,0,0,0,147,2486,0,175,19768,524855,21655,199,122513,1473738,16789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1966,0,137,3460,0,0,507,61118,183263,0,0,401,0,565,639628,1010,51052,83086,0,0,4240,460907,595393,141289,0,0,78088,0,0,0,181,2635,0,165,15975,531915,21173,145,129024,1559720,32107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1967,0,128,3549,0,0,1040,55925,197923,0,0,427,0,529,621709,803,53530,80853,0,0,3126,429304,649647,136526,0,0,78398,0,0,0,169,2703,0,338,18613,559715,22257,122,134232,1633785,19740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1968,0,98,3390,0,0,1892,60650,203006,0,0,432,0,554,731533,690,56671,63012,0,0,890,444318,681344,148136,0,0,86550,0,0,0,124,2582,0,615,18836,553353,22601,117,155257,1760436,18023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,1969,0,993,3559,0,0,2524,58287,221134,0,0,446,0,576,630224,447,57683,50064,0,0,1242,444192,719151,163448,0,0,91831,0,0,0,1264,2710,0,821,20625,600914,23530,91,169639,1810586,18461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
