name,value,year,lastValue,rank
Nigeria,218541212,2022,208327405,1
Brazil,215313498,2022,213196304,2
Brazil,213196304,2020,205188205,1
Nigeria,208327405,2020,183995785,2
Brazil,205188205,2015,196353492,1
Brazil,196353492,2010,175873720,1
Nigeria,183995785,2015,160952853,2
Brazil,175873720,2000,150706446,1
Bangladesh,171186372,2022,167420951,3
Bangladesh,167420951,2020,157830000,3
Nigeria,160952853,2010,122851984,2
Bangladesh,157830000,2015,148391139,3
Brazil,150706446,1990,122288383,1
Bangladesh,148391139,2010,129193327,3
Russia,148005704,1990,138257420,2
Russia,146844839,2000,148005704,2
Russia,145617329,2020,144668389,4
Russia,144713314,2022,145617329,4
Russia,144668389,2015,143242599,4
Russia,143242599,2010,146844839,4
Russia,138257420,1980,130093010,1
Russia,130093010,1970,130093010,1
Bangladesh,129193327,2000,107147651,3
Japan,128105431,2010,126803861,5
Mexico,127504125,2022,125998302,5
Japan,127250933,2015,128105431,5
Japan,126803861,2000,123686321,4
Mexico,125998302,2020,120149897,5
Japan,125244761,2020,127250933,6
Japan,123951692,2022,125244761,6
Japan,123686321,1990,117624196,3
Ethiopia,123379924,2022,117190911,7
Nigeria,122851984,2000,95214257,5
Brazil,122288383,1980,96369875,2
Mexico,120149897,2015,112532401,6
Japan,117624196,1980,105416839,3
Ethiopia,117190911,2020,102471895,7
Mexico,112532401,2010,97873442,6
Bangladesh,107147651,1990,83929765,4
Japan,105416839,1970,105416839,2
Ethiopia,102471895,2015,89237791,7
Mexico,97873442,2000,81720428,6
Brazil,96369875,1970,96369875,3
Nigeria,95214257,1990,72951439,5
Ethiopia,89237791,2010,67031867,7
Bangladesh,83929765,1980,67541860,4
Germany,83369843,2022,83328988,8
Germany,83328988,2020,82073226,8
Germany,82073226,2015,81325090,8
Mexico,81720428,1990,67705186,6
Germany,81551677,2000,79370196,7
Germany,81325090,2010,81551677,8
Germany,79370196,1990,77786703,7
Germany,78294583,1970,78294583,4
Germany,77786703,1980,78294583,5
Nigeria,72951439,1980,55569264,6
Mexico,67705186,1980,50289306,7
Bangladesh,67541860,1970,67541860,5
Ethiopia,67031867,2000,47878073,8
Nigeria,55569264,1970,55569264,6
Mexico,50289306,1970,50289306,7
Ethiopia,47878073,1990,34945469,8
Argentina,45510318,2022,45036032,9
Argentina,45036032,2020,43257065,9
Argentina,43257065,2015,41100123,9
Argentina,41100123,2010,37070774,9
Canada,38454327,2022,37888705,10
Canada,37888705,2020,35732126,10
Argentina,37070774,2000,32637657,9
Canada,35732126,2015,33963412,10
Ethiopia,34945469,1980,28308246,8
Canada,33963412,2010,30683313,10
Argentina,32637657,1990,28024803,9
Canada,30683313,2000,27657204,10
Ethiopia,28308246,1970,28308246,8
Argentina,28024803,1980,23842803,9
Canada,27657204,1990,24511510,10
Australia,26177413,2022,25670051,11
Australia,25670051,2020,23820236,11
Canada,24511510,1980,21434577,10
Argentina,23842803,1970,23842803,9
Australia,23820236,2015,22019168,11
Australia,22019168,2010,19017963,11
Canada,21434577,1970,21434577,10
Australia,19017963,2000,17048003,11
Australia,17048003,1990,14706322,11
Australia,14706322,1980,12595034,11
Australia,12595034,1970,12595034,11
PNG,10142619,2022,9749640,12
PNG,9749640,2020,8682174,12
PNG,8682174,2015,7583269,12
PNG,7583269,2010,5508297,12
PNG,5508297,2000,3864972,12
PNG,3864972,1990,3104788,12
PNG,3104788,1980,2489059,12
PNG,2489059,1970,2489059,12
