year,country,continent,population
1970,China,Asia,822534450
1970,India,Asia,557501301
1970,United States,North America,200328340
1970,Indonesia,Asia,115228394
1970,Pakistan,Asia,59290872
1980,China,Asia,982372466
1980,India,Asia,696828385
1980,United States,North America,223140018
1980,Indonesia,Asia,148177096
1980,Pakistan,Asia,80624057
1990,China,Asia,1153704252
1990,India,Asia,870452165
1990,United States,North America,248083732
1990,Indonesia,Asia,182159874
1990,Pakistan,Asia,115414069
2000,China,Asia,1264099069
2000,India,Asia,1059633675
2000,United States,North America,282398554
2000,Indonesia,Asia,214072421
2000,Pakistan,Asia,154369924
2010,China,Asia,1348191368
2010,India,Asia,1240613620
2010,United States,North America,311182845
2010,Indonesia,Asia,244016173
2010,Pakistan,Asia,194454498
2015,China,Asia,1393715448
2015,India,Asia,1322866505
2015,United States,North America,324607776
2015,Indonesia,Asia,259091970
2015,Pakistan,Asia,210969298
2020,China,Asia,1424929781
2020,India,Asia,1396387127
2020,United States,North America,335942003
2020,Indonesia,Asia,271857970
2020,Pakistan,Asia,227196741
2022,China,Asia,1425887337
2022,India,Asia,1417173173
2022,United States,North America,338289857
2022,Indonesia,Asia,275501339
2022,Pakistan,Asia,235824862
